Modèle,F1 CV (moyenne),F1 CV (écart-type)
Régression logistique,0.5876472353347136,0.03281623118156683
KNN (k=15),0.5764926175855961,0.01651712463009493
Random Forest,0.5561758931483023,0.024211184678019252
